,AGG,TARGET,SCORING_PREDICT,AMT_GOODS_PRICE,AMT_CREDIT,AMT_ANNUITY,AMT_INCOME_TOTAL,ANNUITY_INCOME_PERCENT,CREDIT_TERM,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_EMPLOYED_PERCENT,REGION_POPULATION_RELATIVE,CNT_CHILDREN,AMT_CREDIT_qcut,DAYS_BIRTH_qcut,ANNUITY_INCOME_PERCENT_qcut
0,mean,0.0,94.58881922675026,1106204.619122257,1237771.5731452457,40920.7565308255,324383.28056426335,0.12708463949843193,31.098746081504704,15930.764890282131,2716.103448275862,0.17019331243469168,0.026217345872518408,0.4952978056426332,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.1, 0.14]"
1,min,0.0,65.0,648000.0,900297.0,24174.0,180000.0,0.11,10.0,14547.0,0.0,0.0,0.0,0.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.1, 0.14]"
2,q10,0.0,89.0,810000.0,954274.6,29599.0,225000.0,0.11,24.0,14827.0,379.3,0.02,0.01,0.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.1, 0.14]"
3,q25,0.0,93.0,900000.0,1035832.0,32870.5,270000.0,0.12,28.0,15228.75,1045.75,0.07,0.01,0.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.1, 0.14]"
4,median,0.0,96.0,1048500.0,1133748.0,38200.0,315000.0,0.13,34.0,15906.0,2078.0,0.13,0.02,0.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.1, 0.14]"
5,q75,0.0,98.0,1260000.0,1329059.25,46781.5,360000.0,0.14,34.0,16638.75,3822.25,0.24,0.03,1.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.1, 0.14]"
6,q90,0.0,98.0,1575000.0,1632131.1,55393.1,450000.0,0.14,36.0,17031.1,6080.6,0.38,0.05,2.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.1, 0.14]"
7,max,0.0,99.0,4050000.0,4050000.0,225000.0,1800000.0,0.14,40.0,17366.0,10579.0,0.61,0.07,6.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.1, 0.14]"
8,mean,0.0,95.21826280623608,1114863.2594654788,1238736.85077951,40846.26948775056,531143.9120267261,0.08351893095768384,31.29510022271715,15990.375278396437,2691.1681514476613,0.16808463251670394,0.02871937639198234,0.5623608017817372,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(-0.001, 0.1]"
9,min,0.0,63.0,652500.0,900297.0,0.0,247500.0,0.0,0.0,14548.0,0.0,0.0,0.0,0.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(-0.001, 0.1]"
10,q10,0.0,90.0,802800.0,945000.0,28777.5,315000.0,0.06,24.0,14833.1,533.5,0.03,0.01,0.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(-0.001, 0.1]"
11,q25,0.0,94.0,900000.0,1031043.5,31772.25,360000.0,0.07,28.0,15296.25,1047.0,0.07,0.01,0.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(-0.001, 0.1]"
12,median,0.0,97.0,1080000.0,1129048.0,37624.5,450000.0,0.09,34.0,15981.5,2132.0,0.13,0.02,0.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(-0.001, 0.1]"
13,q75,0.0,98.0,1305000.0,1350000.0,45247.5,585000.0,0.1,34.0,16653.75,3737.5,0.23,0.04,1.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(-0.001, 0.1]"
14,q90,0.0,99.0,1575000.0,1631346.3000000005,58631.50000000002,810000.0,0.1,38.0,17133.0,5805.700000000002,0.36300000000000066,0.07,2.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(-0.001, 0.1]"
15,max,0.0,99.0,4050000.0,4050000.0,132602.0,9000000.0,0.1,40.0,17366.0,9980.0,0.6,0.07,4.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(-0.001, 0.1]"
16,mean,0.0,94.3691766774099,1135179.1834163493,1263397.164664518,43940.83621447407,197620.1749194257,0.22359800761794046,29.827717550542044,15960.13858775271,2820.380017579842,0.17662760035159553,0.022762965133314078,0.5174333430999121,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.19, 0.25]"
17,min,0.0,59.0,648000.0,900297.0,23994.0,108000.0,0.2,10.0,14546.0,0.0,0.0,0.0,0.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.19, 0.25]"
18,q10,0.0,89.0,853556.8,970380.0,31018.0,135000.0,0.2,21.0,14834.2,337.20000000000005,0.02,0.01,0.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.19, 0.25]"
19,q25,0.0,93.0,900000.0,1046142.0,34749.0,157500.0,0.21,25.0,15258.0,969.0,0.06,0.01,0.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.19, 0.25]"
20,median,0.0,96.0,1125000.0,1183500.0,40990.0,180000.0,0.22,31.0,15967.0,2210.0,0.14,0.02,0.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.19, 0.25]"
21,q75,0.0,98.0,1350000.0,1350000.0,50139.0,225000.0,0.24,34.0,16653.0,4035.0,0.25,0.03,1.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.19, 0.25]"
22,q90,0.0,98.0,1575000.0,1687266.0,59424.8,270000.0,0.25,36.0,17079.0,6375.400000000001,0.4,0.05,2.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.19, 0.25]"
23,max,0.0,100.0,4050000.0,4050000.0,225000.0,1125000.0,0.25,40.0,17366.0,10561.0,0.61,0.07,7.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.19, 0.25]"
24,mean,0.0,94.4213341724355,1127505.651982379,1257193.2284455632,42142.57992448081,248228.48898678413,0.17087161736941553,30.66771554436753,15915.022026431718,2774.0273757079926,0.1742164883574565,0.024537444933920922,0.5069225928256765,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.14, 0.19]"
25,min,0.0,58.0,648000.0,900297.0,23571.0,135000.0,0.15,10.0,14546.0,0.0,0.0,0.0,0.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.14, 0.19]"
